,PLAYER_NAME,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,metadata_source
0,Dorian Finney-Smith,28.000000:47,2.0,12.0,0.167,1.0,6.0,0.167,0.0,0.0,0.0,4.0,4.0,8.0,2.0,2.0,0.0,1.0,4.0,5.0,-21.0,2021-10-21 DAL @ ATL
1,Kristaps Porzingis,28.000000:49,4.0,13.0,0.308,1.0,4.0,0.25,2.0,2.0,1.0,2.0,3.0,5.0,0.0,1.0,2.0,4.0,3.0,11.0,-23.0,2021-10-21 DAL @ ATL
2,Dwight Powell,20.000000:13,1.0,5.0,0.2,0.0,1.0,0.0,2.0,3.0,0.667,2.0,2.0,4.0,1.0,1.0,0.0,1.0,2.0,4.0,-21.0,2021-10-21 DAL @ ATL
3,Tim Hardaway Jr.,27.000000:56,4.0,9.0,0.444,2.0,6.0,0.333,4.0,4.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,3.0,14.0,-17.0,2021-10-21 DAL @ ATL
4,Luka Doncic,35.000000:24,6.0,17.0,0.353,2.0,7.0,0.286,4.0,4.0,1.0,0.0,11.0,11.0,7.0,1.0,0.0,5.0,1.0,18.0,-24.0,2021-10-21 DAL @ ATL
5,Willie Cauley-Stein,12.000000:37,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,2021-10-21 DAL @ ATL
6,Jalen Brunson,25.000000:40,7.0,13.0,0.538,3.0,5.0,0.6,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,2.0,17.0,-8.0,2021-10-21 DAL @ ATL
7,Sterling Brown,10.000000:44,1.0,5.0,0.2,1.0,5.0,0.2,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,-4.0,2021-10-21 DAL @ ATL
8,Reggie Bullock,15.000000:02,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,-6.0,2021-10-21 DAL @ ATL
9,Maxi Kleber,17.000000:01,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,2.0,3.0,-13.0,2021-10-21 DAL @ ATL
10,Trey Burke,9.000000:25,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,2021-10-21 DAL @ ATL
11,Josh Green,4.000000:11,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2021-10-21 DAL @ ATL
12,Frank Ntilikina,4.000000:11,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2021-10-21 DAL @ ATL
0,Dorian Finney-Smith,35.000000:54,5.0,9.0,0.556,1.0,3.0,0.333,0.0,0.0,0.0,4.0,4.0,8.0,2.0,1.0,0.0,1.0,3.0,11.0,15.0,2021-10-23 DAL @ TOR
1,Kristaps Porzingis,29.000000:12,7.0,20.0,0.35,2.0,9.0,0.222,2.0,3.0,0.667,2.0,8.0,10.0,1.0,1.0,4.0,0.0,3.0,18.0,-3.0,2021-10-23 DAL @ TOR
2,Dwight Powell,24.000000:37,3.0,3.0,1.0,0.0,0.0,0.0,5.0,6.0,0.833,2.0,0.0,2.0,2.0,1.0,1.0,0.0,4.0,11.0,3.0,2021-10-23 DAL @ TOR
3,Tim Hardaway Jr.,38.000000:53,9.0,16.0,0.563,7.0,11.0,0.636,0.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,2.0,25.0,9.0,2021-10-23 DAL @ TOR
4,Luka Doncic,38.000000:53,11.0,24.0,0.458,2.0,10.0,0.2,3.0,5.0,0.6,0.0,9.0,9.0,12.0,0.0,1.0,5.0,3.0,27.0,1.0,2021-10-23 DAL @ TOR
5,Willie Cauley-Stein,3.000000:29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2021-10-23 DAL @ TOR
6,Jalen Brunson,22.000000:42,2.0,9.0,0.222,1.0,2.0,0.5,0.0,0.0,0.0,2.0,4.0,6.0,4.0,1.0,0.0,1.0,3.0,5.0,7.0,2021-10-23 DAL @ TOR
7,Sterling Brown,9.000000:07,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,-1.0,2021-10-23 DAL @ TOR
8,Maxi Kleber,20.000000:10,1.0,4.0,0.25,1.0,3.0,0.333,2.0,2.0,1.0,0.0,5.0,5.0,0.0,1.0,0.0,1.0,1.0,5.0,8.0,2021-10-23 DAL @ TOR
9,Reggie Bullock,17.000000:03,0.0,3.0,0.0,0.0,2.0,0.0,1.0,2.0,0.5,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,2021-10-23 DAL @ TOR
14,Dorian Finney-Smith,32.000000:08,2.0,7.0,0.286,0.0,5.0,0.0,2.0,2.0,1.0,4.0,2.0,6.0,1.0,0.0,3.0,1.0,2.0,6.0,9.0,2021-10-26 DAL vs. HOU
15,Kristaps Porzingis,19.000000:31,2.0,10.0,0.2,1.0,4.0,0.25,4.0,6.0,0.667,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,9.0,-4.0,2021-10-26 DAL vs. HOU
16,Dwight Powell,24.000000:49,3.0,5.0,0.6,0.0,1.0,0.0,1.0,2.0,0.5,0.0,4.0,4.0,1.0,2.0,1.0,1.0,5.0,7.0,2.0,2021-10-26 DAL vs. HOU
17,Tim Hardaway Jr.,29.000000:45,6.0,12.0,0.5,2.0,7.0,0.286,2.0,4.0,0.5,1.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,16.0,12.0,2021-10-26 DAL vs. HOU
18,Luka Doncic,34.000000:16,10.0,25.0,0.4,1.0,6.0,0.167,5.0,5.0,1.0,2.0,12.0,14.0,7.0,2.0,1.0,4.0,3.0,26.0,15.0,2021-10-26 DAL vs. HOU
19,Boban Marjanovic,9.000000:05,5.0,5.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,2.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,11.0,1.0,2021-10-26 DAL vs. HOU
20,Jalen Brunson,28.000000:20,4.0,8.0,0.5,1.0,4.0,0.25,2.0,2.0,1.0,1.0,3.0,4.0,11.0,1.0,0.0,2.0,3.0,11.0,7.0,2021-10-26 DAL vs. HOU
21,Maxi Kleber,16.000000:28,3.0,5.0,0.6,3.0,4.0,0.75,0.0,0.0,0.0,2.0,5.0,7.0,0.0,0.0,0.0,1.0,3.0,9.0,3.0,2021-10-26 DAL vs. HOU
22,Sterling Brown,9.000000:07,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,2021-10-26 DAL vs. HOU
23,Reggie Bullock,17.000000:27,6.0,11.0,0.545,4.0,9.0,0.444,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,16.0,-4.0,2021-10-26 DAL vs. HOU
24,Josh Green,3.000000:41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2021-10-26 DAL vs. HOU
25,Willie Cauley-Stein,5.000000:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,9.0,2021-10-26 DAL vs. HOU
26,Trey Burke,3.000000:40,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,2021-10-26 DAL vs. HOU
27,Moses Brown,3.000000:05,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,-1.0,2021-10-26 DAL vs. HOU
28,Frank Ntilikina,3.000000:28,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,-4.0,2021-10-26 DAL vs. HOU
12,Reggie Bullock,29.000000:51,2.0,6.0,0.333,2.0,5.0,0.4,1.0,2.0,0.5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,2021-10-28 DAL vs. SAS
13,Dorian Finney-Smith,32.000000:22,5.0,11.0,0.455,3.0,8.0,0.375,1.0,2.0,0.5,2.0,6.0,8.0,1.0,2.0,0.0,2.0,3.0,14.0,-6.0,2021-10-28 DAL vs. SAS
14,Dwight Powell,24.000000:44,5.0,12.0,0.417,0.0,1.0,0.0,1.0,2.0,0.5,2.0,1.0,3.0,1.0,1.0,0.0,3.0,3.0,11.0,-15.0,2021-10-28 DAL vs. SAS
15,Tim Hardaway Jr.,31.000000:49,2.0,8.0,0.25,1.0,4.0,0.25,1.0,2.0,0.5,0.0,5.0,5.0,3.0,0.0,0.0,0.0,3.0,6.0,-23.0,2021-10-28 DAL vs. SAS
16,Luka Doncic,34.000000:20,11.0,19.0,0.579,3.0,8.0,0.375,0.0,3.0,0.0,0.0,3.0,3.0,5.0,0.0,1.0,7.0,3.0,25.0,-19.0,2021-10-28 DAL vs. SAS
17,Maxi Kleber,29.000000:18,4.0,8.0,0.5,4.0,8.0,0.5,0.0,0.0,0.0,3.0,7.0,10.0,2.0,1.0,6.0,0.0,5.0,12.0,22.0,2021-10-28 DAL vs. SAS
18,Willie Cauley-Stein,13.000000:50,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,11.0,2021-10-28 DAL vs. SAS
19,Jalen Brunson,30.000000:06,8.0,15.0,0.533,3.0,6.0,0.5,0.0,2.0,0.0,1.0,6.0,7.0,5.0,0.0,0.0,0.0,2.0,19.0,21.0,2021-10-28 DAL vs. SAS
20,Frank Ntilikina,13.000000:40,2.0,6.0,0.333,2.0,4.0,0.5,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,2021-10-28 DAL vs. SAS
0,Reggie Bullock,21.000000:53,2.0,6.0,0.333,1.0,5.0,0.2,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,-28.0,2021-10-29 DAL @ DEN
1,Dorian Finney-Smith,23.000000:35,0.0,7.0,0.0,0.0,4.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,4.0,2.0,-32.0,2021-10-29 DAL @ DEN
2,Dwight Powell,19.000000:13,2.0,4.0,0.5,1.0,1.0,1.0,3.0,4.0,0.75,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,8.0,-14.0,2021-10-29 DAL @ DEN
3,Tim Hardaway Jr.,21.000000:19,1.0,7.0,0.143,1.0,5.0,0.2,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,2.0,1.0,3.0,-22.0,2021-10-29 DAL @ DEN
4,Luka Doncic,26.000000:25,5.0,18.0,0.278,1.0,4.0,0.25,5.0,5.0,1.0,0.0,6.0,6.0,4.0,2.0,0.0,2.0,1.0,16.0,-32.0,2021-10-29 DAL @ DEN
5,Jalen Brunson,19.000000:26,2.0,8.0,0.25,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,1.0,1.0,4.0,-7.0,2021-10-29 DAL @ DEN
6,Frank Ntilikina,18.000000:49,2.0,6.0,0.333,1.0,5.0,0.2,2.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,7.0,-2.0,2021-10-29 DAL @ DEN
7,Maxi Kleber,22.000000:53,2.0,4.0,0.5,1.0,3.0,0.333,2.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,7.0,-13.0,2021-10-29 DAL @ DEN
8,Willie Cauley-Stein,13.000000:10,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,-1.0,2021-10-29 DAL @ DEN
9,Josh Green,16.000000:39,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,1.0,0.0,1.0,2.0,1.0,0.0,10.0,2021-10-29 DAL @ DEN
10,Boban Marjanovic,3.000000:15,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,-9.0,2021-10-29 DAL @ DEN
11,Trey Burke,15.000000:48,3.0,8.0,0.375,1.0,3.0,0.333,4.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,11.0,-5.0,2021-10-29 DAL @ DEN
12,Moses Brown,8.000000:54,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2021-10-29 DAL @ DEN
13,Eugene Omoruyi,8.000000:41,2.0,4.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,2021-10-29 DAL @ DEN
13,Dorian Finney-Smith,35.000000:22,5.0,13.0,0.385,1.0,6.0,0.167,2.0,4.0,0.5,3.0,3.0,6.0,0.0,2.0,1.0,1.0,3.0,13.0,4.0,2021-10-31 DAL vs. SAC
14,Maxi Kleber,7.000000:04,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,2021-10-31 DAL vs. SAC
15,Dwight Powell,33.000000:02,4.0,5.0,0.8,1.0,1.0,1.0,3.0,4.0,0.75,4.0,4.0,8.0,1.0,1.0,1.0,1.0,3.0,12.0,5.0,2021-10-31 DAL vs. SAC
16,Tim Hardaway Jr.,32.000000:49,5.0,14.0,0.357,4.0,11.0,0.364,2.0,2.0,1.0,0.0,3.0,3.0,3.0,2.0,0.0,2.0,1.0,16.0,5.0,2021-10-31 DAL vs. SAC
17,Luka Doncic,35.000000:12,10.0,21.0,0.476,1.0,7.0,0.143,2.0,6.0,0.333,0.0,8.0,8.0,10.0,1.0,1.0,3.0,3.0,23.0,5.0,2021-10-31 DAL vs. SAC
18,Jalen Brunson,27.000000:08,3.0,10.0,0.3,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,8.0,0.0,2021-10-31 DAL vs. SAC
19,Willie Cauley-Stein,13.000000:44,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,2.0,0.0,0.0,0.0,1.0,4.0,3.0,2021-10-31 DAL vs. SAC
20,Reggie Bullock,21.000000:56,3.0,9.0,0.333,1.0,5.0,0.2,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,4.0,7.0,-6.0,2021-10-31 DAL vs. SAC
21,Frank Ntilikina,20.000000:43,4.0,6.0,0.667,2.0,2.0,1.0,2.0,2.0,1.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,12.0,1.0,2021-10-31 DAL vs. SAC
22,Sterling Brown,11.000000:46,1.0,5.0,0.2,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,4.0,2021-10-31 DAL vs. SAC
23,Moses Brown,1.000000:14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0,2021-10-31 DAL vs. SAC
12,Tim Hardaway Jr.,31.000000:06,5.0,15.0,0.333,4.0,13.0,0.308,3.0,4.0,0.75,0.0,3.0,3.0,3.0,0.0,1.0,0.0,3.0,17.0,-9.0,2021-11-02 DAL vs. MIA
