,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,_min,_sec,min_sec
13,0022101219,1610612742,DAL,Dallas,203493,Reggie Bullock,Reggie,F,,26.000000:37,1.0,6.0,0.167,1.0,3.0,0.333,1.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,1.0,3.0,4.0,16.0,26.000000,37,26.616666666666667
14,0022101219,1610612742,DAL,Dallas,1627827,Dorian Finney-Smith,Dorian,F,,27.000000:15,6.0,7.0,0.857,4.0,5.0,0.8,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,16.0,14.0,27.000000,15,27.25
15,0022101219,1610612742,DAL,Dallas,203939,Dwight Powell,Dwight,C,,25.000000:05,5.0,6.0,0.833,0.0,0.0,0.0,2.0,6.0,0.333,3.0,4.0,7.0,2.0,0.0,1.0,3.0,2.0,12.0,11.0,25.000000,05,25.083333333333332
16,0022101219,1610612742,DAL,Dallas,1628973,Jalen Brunson,Jalen,G,,24.000000:41,7.0,13.0,0.538,3.0,7.0,0.429,1.0,2.0,0.5,0.0,6.0,6.0,5.0,0.0,0.0,1.0,0.0,18.0,12.0,24.000000,41,24.683333333333334
17,0022101219,1610612742,DAL,Dallas,1629029,Luka Doncic,Luka,G,,28.000000:45,8.0,18.0,0.444,2.0,5.0,0.4,8.0,8.0,1.0,1.0,7.0,8.0,9.0,2.0,1.0,4.0,1.0,26.0,19.0,28.000000,45,28.75
18,0022101219,1610612742,DAL,Dallas,203915,Spencer Dinwiddie,Spencer,,,17.000000:53,3.0,7.0,0.429,2.0,4.0,0.5,0.0,0.0,0.0,0.0,3.0,3.0,5.0,1.0,0.0,1.0,1.0,8.0,2.0,17.000000,53,17.883333333333333
19,0022101219,1610612742,DAL,Dallas,1630182,Josh Green,Josh,,,17.000000:25,3.0,5.0,0.6,1.0,3.0,0.333,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,2.0,3.0,7.0,0.0,17.000000,25,17.416666666666668
20,0022101219,1610612742,DAL,Dallas,1627737,Marquese Chriss,Marquese,,,21.000000:11,2.0,7.0,0.286,0.0,0.0,0.0,2.0,2.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,6.0,-3.0,21.000000,11,21.183333333333334
21,0022101219,1610612742,DAL,Dallas,202722,Davis Bertans,Davis,,,12.000000:57,3.0,4.0,0.75,2.0,3.0,0.667,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,8.0,-9.0,12.000000,57,12.95
22,0022101219,1610612742,DAL,Dallas,1629033,Theo Pinson,Theo,,,13.000000:02,5.0,5.0,1.0,4.0,4.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,16.0,-7.0,13.000000,02,13.033333333333333
23,0022101219,1610612742,DAL,Dallas,203504,Trey Burke,Trey,,,9.000000:29,1.0,3.0,0.333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,3.0,-1.0,9.000000,29,9.483333333333333
24,0022101219,1610612742,DAL,Dallas,1626246,Boban Marjanovic,Boban,,,7.000000:50,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,4.0,-2.0,7.000000,50,7.833333333333333
25,0022101219,1610612742,DAL,Dallas,1630589,Moses Wright,Moses,,,7.000000:50,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,-2.0,7.000000,50,7.833333333333333
12,0022101209,1610612742,DAL,Dallas,203493,Reggie Bullock,Reggie,F,,26.000000:37,2.0,7.0,0.286,1.0,6.0,0.167,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,3.0,5.0,29.0,26.000000,37,26.616666666666667
13,0022101209,1610612742,DAL,Dallas,1627827,Dorian Finney-Smith,Dorian,F,,23.000000:55,5.0,7.0,0.714,5.0,7.0,0.714,0.0,0.0,0.0,2.0,5.0,7.0,1.0,2.0,1.0,0.0,1.0,15.0,36.0,23.000000,55,23.916666666666668
14,0022101209,1610612742,DAL,Dallas,203939,Dwight Powell,Dwight,C,,27.000000:32,7.0,7.0,1.0,0.0,0.0,0.0,4.0,6.0,0.667,1.0,2.0,3.0,2.0,0.0,1.0,3.0,2.0,18.0,27.0,27.000000,32,27.533333333333335
15,0022101209,1610612742,DAL,Dallas,1628973,Jalen Brunson,Jalen,G,,22.000000:19,2.0,6.0,0.333,1.0,3.0,0.333,4.0,4.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,9.0,18.0,22.000000,19,22.316666666666666
16,0022101209,1610612742,DAL,Dallas,1629029,Luka Doncic,Luka,G,,29.000000:36,12.0,21.0,0.571,7.0,14.0,0.5,8.0,11.0,0.727,0.0,11.0,11.0,7.0,0.0,1.0,5.0,0.0,39.0,41.0,29.000000,36,29.6
17,0022101209,1610612742,DAL,Dallas,203915,Spencer Dinwiddie,Spencer,,,16.000000:01,4.0,5.0,0.8,3.0,4.0,0.75,3.0,4.0,0.75,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,14.0,11.0,16.000000,01,16.016666666666666
18,0022101209,1610612742,DAL,Dallas,1630182,Josh Green,Josh,,,15.000000:55,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,1.0,3.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,26.0,15.000000,55,15.916666666666666
19,0022101209,1610612742,DAL,Dallas,202722,Davis Bertans,Davis,,,21.000000:23,2.0,5.0,0.4,2.0,4.0,0.5,0.0,0.0,0.0,2.0,6.0,8.0,6.0,1.0,1.0,0.0,1.0,6.0,21.0,21.000000,23,21.383333333333333
20,0022101209,1610612742,DAL,Dallas,1628373,Frank Ntilikina,Frank,,,4.000000:58,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.0,4.000000,58,4.966666666666667
21,0022101209,1610612742,DAL,Dallas,1628425,Sterling Brown,Sterling,,,14.000000:32,3.0,6.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,3.0,7.0,4.0,14.000000,32,14.533333333333333
22,0022101209,1610612742,DAL,Dallas,1629033,Theo Pinson,Theo,,,13.000000:12,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,16.0,13.000000,12,13.2
23,0022101209,1610612742,DAL,Dallas,203504,Trey Burke,Trey,,,12.000000:00,2.0,6.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,4.0,12.0,12.000000,00,12.0
24,0022101209,1610612742,DAL,Dallas,1626246,Boban Marjanovic,Boban,,,12.000000:00,3.0,5.0,0.6,0.0,0.0,0.0,2.0,2.0,1.0,0.0,6.0,6.0,0.0,0.0,0.0,2.0,3.0,8.0,12.0,12.000000,00,12.0
0,0022101190,1610612742,DAL,Dallas,203493,Reggie Bullock,Reggie,F,,31.000000:13,3.0,5.0,0.6,3.0,5.0,0.6,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0,9.0,19.0,31.000000,13,31.216666666666665
1,0022101190,1610612742,DAL,Dallas,1627827,Dorian Finney-Smith,Dorian,F,,35.000000:44,5.0,7.0,0.714,3.0,5.0,0.6,0.0,0.0,0.0,1.0,2.0,3.0,3.0,1.0,0.0,1.0,2.0,13.0,19.0,35.000000,44,35.733333333333334
2,0022101190,1610612742,DAL,Dallas,203939,Dwight Powell,Dwight,C,,30.000000:19,3.0,3.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,5.0,7.0,0.0,1.0,1.0,0.0,5.0,9.0,23.0,30.000000,19,30.316666666666666
3,0022101190,1610612742,DAL,Dallas,1629029,Luka Doncic,Luka,G,,33.000000:57,8.0,21.0,0.381,2.0,11.0,0.182,8.0,13.0,0.615,1.0,7.0,8.0,14.0,1.0,0.0,6.0,4.0,26.0,17.0,33.000000,57,33.95
4,0022101190,1610612742,DAL,Dallas,1628973,Jalen Brunson,Jalen,G,,34.000000:37,9.0,15.0,0.6,1.0,2.0,0.5,5.0,6.0,0.833,1.0,5.0,6.0,3.0,1.0,0.0,0.0,3.0,24.0,22.0,34.000000,37,34.61666666666667
5,0022101190,1610612742,DAL,Dallas,1627737,Marquese Chriss,Marquese,,,10.000000:20,3.0,5.0,0.6,1.0,1.0,1.0,5.0,6.0,0.833,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,12.0,-9.0,10.000000,20,10.333333333333334
6,0022101190,1610612742,DAL,Dallas,203915,Spencer Dinwiddie,Spencer,,,23.000000:22,5.0,10.0,0.5,0.0,1.0,0.0,3.0,4.0,0.75,2.0,2.0,4.0,3.0,1.0,0.0,2.0,2.0,13.0,-3.0,23.000000,22,23.366666666666667
7,0022101190,1610612742,DAL,Dallas,1630182,Josh Green,Josh,,,21.000000:22,5.0,6.0,0.833,2.0,3.0,0.667,0.0,0.0,0.0,0.0,7.0,7.0,1.0,2.0,0.0,0.0,3.0,12.0,2.0,21.000000,22,21.366666666666667
8,0022101190,1610612742,DAL,Dallas,202722,Davis Bertans,Davis,,,12.000000:27,3.0,6.0,0.5,3.0,5.0,0.6,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,9.0,3.0,12.000000,27,12.45
9,0022101190,1610612742,DAL,Dallas,1628373,Frank Ntilikina,Frank,,,2.000000:13,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,2.000000,13,2.216666666666667
10,0022101190,1610612742,DAL,Dallas,1629033,Theo Pinson,Theo,,,2.000000:13,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,2.000000,13,2.216666666666667
11,0022101190,1610612742,DAL,Dallas,203504,Trey Burke,Trey,,,2.000000:13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.000000,13,2.216666666666667
0,0022101167,1610612742,DAL,Dallas,203493,Reggie Bullock,Reggie,F,,40.000000:15,6.0,9.0,0.667,3.0,6.0,0.5,1.0,1.0,1.0,0.0,7.0,7.0,1.0,0.0,1.0,0.0,5.0,16.0,8.0,40.000000,15,40.25
1,0022101167,1610612742,DAL,Dallas,1627827,Dorian Finney-Smith,Dorian,F,,41.000000:11,4.0,9.0,0.444,1.0,6.0,0.167,2.0,2.0,1.0,0.0,1.0,1.0,6.0,2.0,1.0,0.0,2.0,11.0,9.0,41.000000,11,41.18333333333333
2,0022101167,1610612742,DAL,Dallas,203939,Dwight Powell,Dwight,C,,31.000000:23,8.0,10.0,0.8,0.0,0.0,0.0,6.0,6.0,1.0,2.0,11.0,13.0,1.0,1.0,0.0,2.0,3.0,22.0,8.0,31.000000,23,31.383333333333333
3,0022101167,1610612742,DAL,Dallas,1629029,Luka Doncic,Luka,G,,39.000000:04,9.0,22.0,0.409,3.0,9.0,0.333,11.0,14.0,0.786,0.0,8.0,8.0,15.0,3.0,0.0,6.0,2.0,32.0,8.0,39.000000,04,39.06666666666667
4,0022101167,1610612742,DAL,Dallas,1628973,Jalen Brunson,Jalen,G,,36.000000:14,5.0,12.0,0.417,3.0,6.0,0.5,2.0,2.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,15.0,6.0,36.000000,14,36.233333333333334
5,0022101167,1610612742,DAL,Dallas,203915,Spencer Dinwiddie,Spencer,,,20.000000:48,3.0,6.0,0.5,3.0,4.0,0.75,2.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,11.0,-5.0,20.000000,48,20.8
6,0022101167,1610612742,DAL,Dallas,1630182,Josh Green,Josh,,,10.000000:08,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,-6.0,10.000000,08,10.133333333333333
7,0022101167,1610612742,DAL,Dallas,1627737,Marquese Chriss,Marquese,,,3.000000:46,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-9.0,3.000000,46,3.7666666666666666
8,0022101167,1610612742,DAL,Dallas,202722,Davis Bertans,Davis,,,17.000000:11,2.0,5.0,0.4,2.0,5.0,0.4,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,3.0,6.0,11.0,17.000000,11,17.183333333333334
0,0022101152,1610612742,DAL,Dallas,203493,Reggie Bullock,Reggie,F,,34.000000:18,2.0,8.0,0.25,2.0,7.0,0.286,2.0,2.0,1.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,8.0,-9.0,34.000000,18,34.3
1,0022101152,1610612742,DAL,Dallas,1627827,Dorian Finney-Smith,Dorian,F,,27.000000:05,3.0,6.0,0.5,2.0,5.0,0.4,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,8.0,-29.0,27.000000,05,27.083333333333332
2,0022101152,1610612742,DAL,Dallas,203939,Dwight Powell,Dwight,C,,20.000000:38,1.0,4.0,0.25,0.0,0.0,0.0,6.0,6.0,1.0,1.0,5.0,6.0,0.0,0.0,1.0,1.0,2.0,8.0,-18.0,20.000000,38,20.633333333333333
3,0022101152,1610612742,DAL,Dallas,1629029,Luka Doncic,Luka,G,,36.000000:17,11.0,22.0,0.5,4.0,9.0,0.444,10.0,10.0,1.0,0.0,7.0,7.0,6.0,0.0,1.0,5.0,3.0,36.0,-22.0,36.000000,17,36.28333333333333
4,0022101152,1610612742,DAL,Dallas,1628973,Jalen Brunson,Jalen,G,,32.000000:08,9.0,13.0,0.692,1.0,3.0,0.333,2.0,2.0,1.0,0.0,5.0,5.0,2.0,1.0,0.0,1.0,3.0,21.0,-29.0,32.000000,08,32.13333333333333
5,0022101152,1610612742,DAL,Dallas,1628467,Maxi Kleber,Maxi,,,25.000000:57,2.0,5.0,0.4,2.0,5.0,0.4,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,1.0,1.0,1.0,6.0,-3.0,25.000000,57,25.95
6,0022101152,1610612742,DAL,Dallas,203915,Spencer Dinwiddie,Spencer,,,23.000000:24,2.0,6.0,0.333,0.0,3.0,0.0,4.0,6.0,0.667,0.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0,8.0,-12.0,23.000000,24,23.4
7,0022101152,1610612742,DAL,Dallas,1630182,Josh Green,Josh,,,13.000000:42,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,-23.0,13.000000,42,13.7
8,0022101152,1610612742,DAL,Dallas,202722,Davis Bertans,Davis,,,10.000000:23,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,10.000000,23,10.383333333333333
9,0022101152,1610612742,DAL,Dallas,1627737,Marquese Chriss,Marquese,,,9.000000:46,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,9.000000,46,9.766666666666667
10,0022101152,1610612742,DAL,Dallas,1628373,Frank Ntilikina,Frank,,,3.000000:11,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,-4.0,3.000000,11,3.183333333333333
11,0022101152,1610612742,DAL,Dallas,202688,Brandon Knight,Brandon,,,3.000000:11,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,3.000000,11,3.183333333333333
0,0022101136,1610612742,DAL,Dallas,203493,Reggie Bullock,Reggie,F,,41.000000:46,3.0,7.0,0.429,3.0,7.0,0.429,0.0,0.0,0.0,1.0,3.0,4.0,3.0,1.0,0.0,2.0,2.0,9.0,13.0,41.000000,46,41.766666666666666
1,0022101136,1610612742,DAL,Dallas,1627827,Dorian Finney-Smith,Dorian,F,,36.000000:51,10.0,16.0,0.625,6.0,12.0,0.5,2.0,3.0,0.667,1.0,1.0,2.0,3.0,0.0,1.0,1.0,3.0,28.0,16.0,36.000000,51,36.85
2,0022101136,1610612742,DAL,Dallas,203939,Dwight Powell,Dwight,C,,21.000000:36,5.0,6.0,0.833,0.0,1.0,0.0,5.0,5.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,0.0,5.0,15.0,6.0,21.000000,36,21.6
3,0022101136,1610612742,DAL,Dallas,1628973,Jalen Brunson,Jalen,G,,38.000000:54,8.0,14.0,0.571,1.0,3.0,0.333,1.0,3.0,0.333,2.0,3.0,5.0,6.0,0.0,0.0,1.0,0.0,18.0,-5.0,38.000000,54,38.9
4,0022101136,1610612742,DAL,Dallas,1629029,Luka Doncic,Luka,G,,37.000000:50,14.0,26.0,0.538,3.0,6.0,0.5,4.0,4.0,1.0,0.0,9.0,9.0,13.0,1.0,2.0,3.0,1.0,35.0,14.0,37.000000,50,37.833333333333336
5,0022101136,1610612742,DAL,Dallas,1628467,Maxi Kleber,Maxi,,,26.000000:05,2.0,7.0,0.286,2.0,7.0,0.286,0.0,0.0,0.0,1.0,5.0,6.0,1.0,1.0,1.0,2.0,2.0,6.0,3.0,26.000000,05,26.083333333333332
6,0022101136,1610612742,DAL,Dallas,202722,Davis Bertans,Davis,,,10.000000:16,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,-2.0,10.000000,16,10.266666666666667
7,0022101136,1610612742,DAL,Dallas,1630182,Josh Green,Josh,,,16.000000:39,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,16.000000,39,16.65
8,0022101136,1610612742,DAL,Dallas,202688,Brandon Knight,Brandon,,,6.000000:52,1.0,4.0,0.25,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-8.0,6.000000,52,6.866666666666667
9,0022101136,1610612742,DAL,Dallas,1627737,Marquese Chriss,Marquese,,,3.000000:11,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,3.000000,11,3.183333333333333
13,0022101134,1610612742,DAL,Dallas,203493,Reggie Bullock,Reggie,F,,33.000000:14,6.0,9.0,0.667,5.0,8.0,0.625,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,17.0,13.0,33.000000,14,33.233333333333334
14,0022101134,1610612742,DAL,Dallas,1627827,Dorian Finney-Smith,Dorian,F,,30.000000:30,3.0,6.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,8.0,6.0,30.000000,30,30.5
15,0022101134,1610612742,DAL,Dallas,203939,Dwight Powell,Dwight,C,,28.000000:35,6.0,9.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0,2.0,0.0,0.0,0.0,3.0,12.0,0.0,28.000000,35,28.583333333333332
16,0022101134,1610612742,DAL,Dallas,1628973,Jalen Brunson,Jalen,G,,31.000000:12,3.0,12.0,0.25,0.0,3.0,0.0,6.0,6.0,1.0,0.0,5.0,5.0,3.0,1.0,0.0,0.0,1.0,12.0,8.0,31.000000,12,31.2
17,0022101134,1610612742,DAL,Dallas,1629029,Luka Doncic,Luka,G,,29.000000:39,12.0,23.0,0.522,4.0,12.0,0.333,6.0,7.0,0.857,3.0,9.0,12.0,12.0,1.0,0.0,1.0,1.0,34.0,21.0,29.000000,39,29.65
18,0022101134,1610612742,DAL,Dallas,1628467,Maxi Kleber,Maxi,,,15.000000:22,2.0,5.0,0.4,1.0,4.0,0.25,0.0,0.0,0.0,1.0,6.0,7.0,1.0,0.0,0.0,1.0,2.0,5.0,19.0,15.000000,22,15.366666666666667
19,0022101134,1610612742,DAL,Dallas,203915,Spencer Dinwiddie,Spencer,,,28.000000:46,4.0,8.0,0.5,2.0,6.0,0.333,3.0,6.0,0.5,0.0,3.0,3.0,6.0,0.0,0.0,2.0,1.0,13.0,12.0,28.000000,46,28.766666666666666
20,0022101134,1610612742,DAL,Dallas,1630182,Josh Green,Josh,,,19.000000:37,5.0,8.0,0.625,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,12.0,15.0,19.000000,37,19.616666666666667
21,0022101134,1610612742,DAL,Dallas,202722,Davis Bertans,Davis,,,14.000000:46,4.0,5.0,0.8,4.0,5.0,0.8,2.0,2.0,1.0,2.0,3.0,5.0,0.0,0.0,0.0,2.0,1.0,14.0,5.0,14.000000,46,14.766666666666667
22,0022101134,1610612742,DAL,Dallas,1627737,Marquese Chriss,Marquese,,,4.000000:03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,4.000000,03,4.05
23,0022101134,1610612742,DAL,Dallas,1626246,Boban Marjanovic,Boban,,,2.000000:08,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,2.000000,08,2.1333333333333333
24,0022101134,1610612742,DAL,Dallas,1630589,Moses Wright,Moses,,,2.000000:08,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,2.000000,08,2.1333333333333333
12,0022101121,1610612742,DAL,Dallas,203493,Reggie Bullock,Reggie,F,,34.000000:51,8.0,12.0,0.667,7.0,11.0,0.636,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,2.0,23.0,20.0,34.000000,51,34.85
13,0022101121,1610612742,DAL,Dallas,1627827,Dorian Finney-Smith,Dorian,F,,32.000000:10,3.0,6.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,8.0,14.0,32.000000,10,32.166666666666664
14,0022101121,1610612742,DAL,Dallas,203939,Dwight Powell,Dwight,C,,21.000000:36,2.0,3.0,0.667,0.0,0.0,0.0,2.0,3.0,0.667,1.0,4.0,5.0,0.0,0.0,1.0,1.0,0.0,6.0,11.0,21.000000,36,21.6
15,0022101121,1610612742,DAL,Dallas,1628973,Jalen Brunson,Jalen,G,,32.000000:19,7.0,15.0,0.467,2.0,4.0,0.5,6.0,6.0,1.0,3.0,7.0,10.0,5.0,0.0,0.0,1.0,2.0,22.0,15.0,32.000000,19,32.31666666666667
16,0022101121,1610612742,DAL,Dallas,1629029,Luka Doncic,Luka,G,,32.000000:42,11.0,21.0,0.524,4.0,7.0,0.571,6.0,9.0,0.667,1.0,9.0,10.0,5.0,0.0,0.0,3.0,3.0,32.0,9.0,32.000000,42,32.7
17,0022101121,1610612742,DAL,Dallas,203915,Spencer Dinwiddie,Spencer,,,23.000000:27,5.0,10.0,0.5,1.0,3.0,0.333,1.0,2.0,0.5,1.0,3.0,4.0,2.0,0.0,0.0,2.0,2.0,12.0,7.0,23.000000,27,23.45
18,0022101121,1610612742,DAL,Dallas,1628467,Maxi Kleber,Maxi,,,22.000000:52,1.0,2.0,0.5,0.0,1.0,0.0,0.0,2.0,0.0,2.0,5.0,7.0,1.0,0.0,0.0,1.0,0.0,2.0,8.0,22.000000,52,22.866666666666667
19,0022101121,1610612742,DAL,Dallas,202722,Davis Bertans,Davis,,,15.000000:50,2.0,4.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,15.000000,50,15.833333333333334
20,0022101121,1610612742,DAL,Dallas,1630182,Josh Green,Josh,,,13.000000:37,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,13.000000,37,13.616666666666667
21,0022101121,1610612742,DAL,Dallas,1628373,Frank Ntilikina,Frank,,,3.000000:32,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,-5.0,3.000000,32,3.533333333333333
